adid, bedrooms, city, price, transaction_type, subtype, zipcode, adresse, surface, type_prop, etat, facades, surface_terrain, garden, garden_surface, terrasse, terrasse_surface, piscine, nombre_chambres, garage, surface_habitable, meuble, salles_de_bain, toilettes, cuisine_equipee, cheminee
VAR58606,2,La Hestre,160000,Sale,Appartement,7170, Rue de Mariemont 11 1 ,87,Appartment,None,2,None,None,None,Non,None,None,2,Oui,87,Non,1,1,None,None
RAW65225,2,Tongerlo,249000,Sale,Appartement,2260, Langstraat 2  ,94,Appartment,None,None,None,Oui,60,Oui,32,None,2,Non,94,Non,2,1,Semi-équipée,None
RAW60035,2,Dadizele,271000,Sale,Appartement,8890, Kleppestraat nb 00.01 ,108,Appartment,None,None,None,Oui,165,Oui,51,None,2,Non,108,None,None,1,Equipée,None
RAW59914,2,Ronse,219000,Sale,Appartement,9600, Olifantstraat 30 B 0102  ,98,Appartment,None,2,None,None,None,None,None,None,2,Oui,98,None,1,1,None,None
RAW56919,1,Sint-Joost-ten-Node,235000,Sale,Appartement,1210, Leopold Lendersstraat 6  ,56,Appartment,None,None,None,None,None,None,None,None,1,Non,56,Oui,1,1,None,None
RAW56904,2,Blankenberge,215000,Sale,Appartement,8370, Graaf Jansdijk 9 6c ,70,Appartment,None,None,None,None,None,None,None,None,2,Non,70,None,1,1,None,None
VAR48930,2,Ukkel,440000,Sale,Appartement,1180,None,94,Appartment,None,None,None,None,None,None,None,None,2,Non,94,Non,1,2,None,None
VAR57536,3,Ham-sur-Sambre,259000,Sale,Maison,5190, Rue de la Vallee 72A  ,115,House,None,3,1173,None,None,None,None,None,3,Non,115,Non,1,2,None,None
VAR57146,2,Flémalle,175000,Sale,Maison,4400, Route de Souxhon 272  ,135,House,None,4,600,Oui,460,Oui,40,None,2,Oui,135,Non,1,1,Non équipée,None
VAR57020,3,Peissant,315000,Sale,Immeuble mixte,7120, Place Mozin et Libotte 8  ,115,House,None,2,None,None,None,Oui,None,None,3,Oui,115,Non,2,None,None,None
RAW65031,2,Hemiksem,275000,Sale,Maison,2620, Provinciale Steenweg 87  ,None,House,None,None,247,None,None,None,None,None,2,Non,None,Non,1,1,None,None
