Surface habitable,Surface du terrain,Chambres,Meublé,Type de cuisine,Surface du jardin,Terrasse,Surface de la terrasse,Nombre de façades,État du bâtiment,Combien de feux ouverts ?,Piscine,Salles de bains,Toilettes,Dressing,Cave,Bureau,Salon,Parkings intérieurs,Parkings extérieurs,Salle à manger,Salles de douche,Buanderie,Année de construction,id,transactionType,type,subtype,zip,price,état
650,2462,6,Oui,Américaine hyper-équipée,None,Oui,None,4,À rafraîchir,None,None,6,None,None,Oui,Oui,None,2,2,Oui,None,None,1972,9266747,for sale,house,house,8511,495000,to be done up
150,240,3,Non,Équipée,None,Oui,None,None,Bon,None,None,1,1,None,Oui,None,None,None,None,None,None,None,None,9288455,for sale,house,house,8511,219000,good
112,447,2,Non,Semi-équipée,None,Oui,None,3,À rafraîchir,None,None,1,1,None,None,None,None,1,None,None,None,None,None,9315369,for sale,house,house,8511,150000,to be done up
None,355,4,None,None,None,None,None,None,À rénover,None,None,1,None,Non,Oui,Non,None,None,None,Oui,None,None,1930,9078927,for sale,house,house,8511,138000,to renovate
None,535,4,Non,None,None,Oui,None,4,Bon,None,None,2,2,None,None,Non,Oui,1,None,Oui,None,None,None,9308605,for sale,house,villa,8511,385000,good
200,550,4,None,None,None,Oui,None,3,Bon,None,None,1,2,None,None,None,None,1,2,None,None,None,None,9308303,for sale,house,house,8511,275000,good
250,635,3,None,None,None,Oui,None,2,À rafraîchir,None,None,None,3,None,None,None,None,None,None,None,None,None,1989,9273319,for sale,house,mixed use building,8511,385000,to be done up
111,241,1,Non,None,None,None,None,None,À rénover,None,None,1,None,Non,None,Non,None,None,None,None,None,None,1950,9285533,for sale,house,house,8511,115000,to renovate
None,656,3,None,None,None,None,None,None,À rénover,None,None,None,None,None,None,None,None,None,1,None,None,None,None,9275175,for sale,house,house,8511,189000,to renovate
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,9310744,for sale,house group,house group,3200,440640 - 492660,None
436,537,8,Non,Équipée,300,Oui,None,None,Bon,None,None,None,9,Non,None,None,None,None,None,None,None,None,None,9287810,for sale,house,house,3200,549000,good
180,230,3,Non,Équipée,74,None,24,2,Bon,None,None,1,2,None,None,Non,None,1,4,None,None,None,1973,8973339,for sale,house,house,3200,349000,good
170,80,4,Non,Équipée,None,None,9,2,Bon,None,None,2,2,None,None,Non,None,None,None,None,None,None,None,9265792,for sale,house,mixed use building,3200,295000,good
240,10074,4,Non,Équipée,None,None,None,4,À rafraîchir,1,None,1,2,Non,None,Non,None,2,6,None,1,None,1962,9051039,for sale,house,exceptional property,3200,550000,to be done up
None,215,3,None,None,None,None,None,4,À rafraîchir,None,None,None,None,None,None,None,None,None,None,None,None,None,1953,9312299,for sale,house,house,3200,110000,to be done up
None,419,2,None,Équipée,None,None,None,2,À rénover,None,None,1,1,None,None,None,Oui,1,None,None,None,None,1973,9295949,for sale,house,house,3200,135000,to renovate
None,834,3,None,None,None,None,None,4,À rénover,None,None,1,1,None,None,None,None,None,None,None,None,None,1949,9218143,for sale,house,house,3200,no price,to renovate
None,279,2,None,Équipée,None,None,None,3,None,None,None,1,1,None,None,None,Oui,1,None,None,None,None,1973,9295699,for sale,house,house,3200,135000,None
None,640,3,None,Équipée,None,None,None,3,None,None,None,1,None,None,None,Oui,Oui,None,None,Oui,None,None,1972,9245221,for sale,house,house,3200,250000,None
None,656,3,None,Équipée,None,Oui,None,4,None,None,None,1,None,None,Oui,None,Oui,None,1,None,None,None,1969,9218142,for sale,house,house,3200,no price,None
None,716,2,None,Équipée,None,Oui,None,4,None,None,None,1,None,None,Oui,None,None,None,None,Oui,None,None,1954,9231121,for sale,house,house,3200,180000,None
None,51066,5,None,None,None,None,None,4,None,None,None,1,1,None,None,None,Oui,None,None,None,None,None,1949,9285712,for sale,house,farmhouse,3200,249000,None
137,432,3,None,None,None,None,None,4,None,None,None,1,None,None,None,None,None,1,1,None,None,None,None,9230580,for sale,house,house,3200,397752,None
None,None,2,None,Équipée,None,None,None,None,None,None,None,1,2,None,None,None,Oui,None,None,None,None,None,None,9249565,for sale,house,house,3200,140000,None
172,215,3,None,None,None,None,None,4,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,9224265,for sale,house,house,3200,283676,None
176,262,3,None,None,None,None,None,4,None,None,None,1,None,None,None,None,None,1,1,None,None,None,None,9224267,for sale,house,house,3200,339926,None
174,209,3,None,None,None,None,None,4,None,None,None,1,None,None,None,None,None,1,1,None,None,None,None,9224268,for sale,house,house,3200,369400,None
193,364,3,None,None,None,None,None,4,None,None,None,1,None,None,None,None,None,1,1,None,None,None,None,9223083,for sale,house,house,3200,374521,None
None,None,3,None,None,None,None,None,None,None,None,None,1,None,Non,None,Non,None,3,None,None,None,None,1978,9304534,for sale,house,house,3200,410000,None
193,277,3,None,None,None,None,None,4,None,None,None,1,None,None,None,None,None,1,None,None,None,None,None,9224266,for sale,house,house,3200,341521,None
104,320,3,None,None,None,None,None,4,None,None,None,1,None,None,None,None,None,None,1,None,None,None,None,9141717,for sale,house,house,3200,313925,None
218,1416,3,Non,Équipée,None,Oui,None,4,À rafraîchir,None,None,1,2,None,None,None,None,1,3,None,None,None,1962,9259525,for sale,house,house,3200,322000,to be done up
172,370,2,Non,None,None,Oui,None,3,À rénover,None,None,None,None,None,Oui,None,None,1,None,None,None,None,1946,9085486,for sale,house,house,3200,175000,to renovate
470,1384,5,Non,None,None,None,None,4,None,None,None,1,2,None,Oui,None,None,2,None,None,None,None,1987,8875541,for sale,house,house,3200,479000,None
216,200,4,Non,Hyper équipée,None,None,27,None,Excellent état,None,None,None,3,Oui,None,None,None,None,None,None,None,None,None,9302102,for sale,house,house,3200,349000,as new
171,150,3,None,Hyper équipée,None,Oui,None,2,Excellent état,None,None,2,3,Oui,None,Oui,None,1,None,None,None,None,None,9308231,for sale,house,mansion,3200,449000,as new
97,175,3,Non,Équipée,None,None,None,None,À rafraîchir,None,None,None,1,Non,None,None,None,None,None,None,None,None,None,9213860,for sale,house,house,3200,159000,to be done up
190,519,3,None,Équipée,None,None,None,2,None,None,None,1,2,None,Oui,None,Oui,2,1,Oui,None,Oui,1969,9309737,for sale,house,house,3200,332000,None
