Surface habitable,Surface du terrain,Chambres,Meublé,Type de cuisine,Surface du jardin,Terrasse,Surface de la terrasse,Nombre de façades,État du bâtiment,Combien de feux ouverts ?,Piscine,Salles de bains,Toilettes,Dressing,Cave,Bureau,Salon,Parkings intérieurs,Parkings extérieurs,Salle à manger,Salles de douche,Buanderie,Année de construction,id,transactionType,type,subtype,zip,price,état
1500,None,40,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,9269970,for sale,apartment,apartment,5660,485000,None
79,None,2,Non,Équipée,None,None,None,None,Bon,None,None,1,1,None,Oui,Non,None,None,None,None,None,None,None,9096196,for sale,apartment,apartment,5660,120000,good
116,None,3,Non,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,9187461,for sale,apartment,apartment,5660,122000,None
108,None,3,Non,Équipée,None,Oui,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,9137290,for sale,apartment,apartment,5660,129000,None
150,1356,4,Non,Équipée,1200,None,25,4,None,1,None,1,1,None,Oui,None,None,1,1,None,None,Oui,1963,9267116,for sale,house,villa,5660,225000,None
101,1309,2,Non,Équipée,1100,None,15,4,None,None,None,1,1,None,Oui,None,None,2,6,None,None,None,1970,9148177,for sale,house,villa,5660,230000,None
536,1321,7,Non,Hyper équipée,1100,None,40,4,None,None,None,None,6,None,None,None,None,None,4,None,4,None,2003,9251280,for sale,house,house,5660,300000,None
240,2280,5,Non,Équipée,None,None,100,3,None,1,None,1,1,None,Oui,None,None,1,1,Oui,1,Oui,None,9301493,for sale,house,house,5660,240000,None
245,1200,3,Non,Semi-équipée,1050,None,None,3,None,None,None,1,2,Oui,Oui,None,None,1,5,None,1,None,2020,9148195,for sale,house,villa,5660,205000,None
224,572,2,Non,Hyper équipée,462,None,None,3,Fraîchement rénové,None,None,1,1,None,Oui,None,None,None,None,None,1,None,None,9277049,for sale,house,apartment block,5660,350000,just renovated
None,2696,3,None,None,None,None,None,None,None,None,None,1,None,None,None,None,Oui,1,None,None,None,None,None,9302524,for sale,house,bungalow,5660,65000,None
180,120,5,None,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8184370,for sale,house,house,5660,130000,None
225,None,3,Non,None,200,None,22,3,None,None,None,None,None,None,None,None,Oui,None,None,None,None,None,None,9251281,for sale,house,house,5660,160000,None
145,2059,3,Non,Semi-équipée,1900,None,18,4,Bon,None,None,1,2,Non,Oui,Non,None,None,None,None,None,Oui,1972,9310110,for sale,house,house,5660,180000,good
200,120000,4,None,None,None,Oui,None,4,Excellent état,None,None,2,None,None,Oui,Oui,None,4,10,None,None,None,1900,7639338,for sale,house,house,5660,795000,as new
165,1300,3,Non,Équipée,1100,None,30,2,Excellent état,None,None,1,None,None,Oui,None,None,None,None,None,None,None,None,9300625,for sale,house,house,5660,195000,as new
177,1200,3,None,Pas équipée,860,Oui,None,3,None,None,None,1,None,Oui,None,None,None,None,None,Oui,None,Oui,None,8885571,for sale,house,house,5660,205000,None
330,15000,4,None,None,None,None,None,4,None,None,None,2,None,None,None,None,None,None,None,Oui,2,None,1890,9119902,for sale,house,house,5660,1200000,None
177,1200,3,None,Pas équipée,840,Oui,None,3,None,None,None,1,None,Oui,None,None,None,None,None,Oui,None,Oui,None,8885524,for sale,house,house,5660,205000,None
637,14693,6,Non,Pas équipée,14693,None,None,4,Bon,None,None,5,4,Non,Oui,Non,None,None,40,None,None,None,None,8783860,for sale,house,house,5660,499000,good
300,500,7,None,None,500,None,20,3,None,None,None,None,5,Oui,None,Oui,None,None,None,Oui,3,None,None,9173545,for sale,house,house,5660,350000,None
190,436,5,None,Équipée,312,None,40,4,Fraîchement rénové,None,None,1,2,None,None,Oui,None,1,2,None,None,Oui,None,9316634,for sale,house,house,5660,280000,just renovated
None,513,3,None,Équipée,None,None,None,3,Bon,None,None,1,1,None,Oui,None,Oui,1,None,Oui,None,None,1980,9293933,for sale,house,house,5660,135000,good
500,34000,9,Oui,Hyper équipée,10000,None,75,4,Fraîchement rénové,None,None,None,6,Oui,None,Oui,None,6,6,Oui,5,None,2010,9019168,for sale,house,exceptional property,5660,525000,just renovated
250,1922,5,None,Équipée,1742,Oui,None,4,Bon,None,None,2,3,None,Oui,Oui,None,1,5,None,None,None,2007,9273587,for sale,house,house,5660,399000,good
None,1194,5,None,None,None,None,None,3,À rénover,None,None,1,2,None,Oui,None,Oui,1,1,Oui,None,None,None,9316789,for sale,house,house,5660,190000,to renovate
126,2550,2,None,Équipée,2450,Oui,None,4,Bon,None,None,1,2,None,None,None,None,2,3,None,1,None,2005,9310057,for sale,house,house,5660,175000,good
None,159,3,None,None,None,None,None,2,À rénover,None,None,1,1,None,Oui,None,Oui,None,None,None,None,None,1963,9175985,for sale,house,house,5660,83000,to renovate
118,830,2,None,Pas équipée,660,None,None,4,À rénover,1,None,None,1,None,None,None,None,None,2,None,1,Oui,None,9279082,for sale,house,house,5660,85000,to renovate
None,None,5,None,None,None,Oui,None,4,Bon,None,None,1,2,Oui,Oui,Oui,Oui,1,3,None,1,None,1957,9253227,for sale,house,house,5660,255000,good
90,748,2,None,Équipée,678,Oui,None,4,Bon,None,None,None,3,None,Oui,None,None,1,None,None,1,None,None,9258607,for sale,house,house,5660,149000,good
130,170,4,None,Équipée,None,Oui,None,3,Bon,None,None,1,1,None,Oui,Oui,None,1,1,None,None,None,None,9267268,for sale,house,house,5660,149000,good
170,155,3,None,Équipée,85,None,None,2,Bon,None,None,1,2,None,Oui,Oui,None,None,None,None,None,None,None,9277769,for sale,house,house,5660,175000,good
170,155,3,None,Équipée,85,None,None,2,Bon,None,None,1,2,None,Oui,Oui,None,None,None,None,None,None,None,9202836,for sale,house,house,5660,175000,good
88,123,2,None,Semi-équipée,70,None,None,2,À rénover,None,None,1,1,None,Oui,None,None,None,None,None,None,None,None,9277771,for sale,house,house,5660,70000,to renovate
350,753,5,Non,Hyper équipée,417,Oui,None,4,Excellent état,None,None,2,3,None,Oui,Oui,None,None,None,None,None,None,None,9202811,for sale,house,house,5660,200000,as new
150,731,3,Non,Équipée,None,None,15,4,None,1,None,3,4,Oui,Oui,None,None,1,3,None,None,Oui,None,9243806,for sale,house,villa,5660,290000,None
205,3011,3,None,Équipée,2761,None,40,4,Bon,1,None,1,2,None,Oui,None,None,3,None,None,1,None,None,9106991,for sale,house,house,5660,395000,good
None,None,5,None,None,None,Oui,None,4,Bon,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8976445,for sale,house,villa,5660,185000,good
130,1000,3,Non,None,None,None,None,None,None,None,None,1,1,None,None,None,None,None,None,None,None,None,2006,9299814,for sale,house,villa,5660,199000,None
160,None,2,None,Pas équipée,None,None,None,2,À rénover,None,None,1,3,None,Oui,Oui,None,None,None,None,None,None,None,9179993,for sale,house,house,5660,120000,to renovate
350,1097,6,Non,Équipée,None,None,None,4,None,None,None,2,4,None,Oui,None,None,3,1,None,1,None,None,8760414,for sale,house,apartment block,5660,300000,None
None,466,4,None,None,None,None,None,None,None,None,None,1,None,None,Oui,None,Oui,None,None,Oui,None,None,None,9200280,for sale,house,house,5660,180000,None
135,573,4,Non,Équipée,None,Oui,None,4,None,None,None,1,2,None,Oui,None,None,1,1,None,None,None,None,8780894,for sale,house,villa,5660,150000,None
570,4742,2,Non,Équipée,None,Oui,None,None,None,None,None,2,2,None,Oui,None,None,None,None,None,1,None,None,8816953,for sale,house,country cottage,5660,330000,None
320,2000,4,Non,Équipée,None,Oui,None,None,None,None,None,1,2,None,Oui,None,None,None,None,None,None,None,None,9006538,for sale,house,house,5660,398000,None
362,9542,7,Non,Équipée,None,Oui,None,None,None,None,None,3,None,None,Oui,None,None,None,None,None,1,None,1935,8654635,for sale,house,house,5660,499000,None
None,458,3,None,None,None,None,None,None,None,None,None,1,None,None,None,None,Oui,None,None,Oui,None,None,None,9186511,for sale,house,house,5660,95000,None
None,792,2,Non,Semi-équipée,None,None,None,2,None,None,None,1,2,None,Oui,Non,None,None,None,None,None,None,None,9202810,for sale,house,house,5660,150000,None
49,2867,3,None,Pas équipée,2809,None,None,4,None,None,None,1,1,None,None,None,None,None,None,None,None,None,None,9135568,for sale,house,house,5660,150000,None
140,760,2,Non,None,None,Oui,None,None,None,None,None,1,1,None,Oui,None,None,None,None,None,None,None,None,9247574,for sale,house,house,5660,189000,None
None,120,4,None,None,None,None,None,4,None,None,None,2,3,None,None,None,None,None,None,None,None,None,None,9239402,for sale,house,mixed use building,5660,299000,None
None,34833,3,Non,Équipée,None,None,None,None,None,None,None,None,1,None,Oui,Non,None,None,None,None,1,None,None,9271452,for sale,house,house,5660,515000,None
None,258,1,None,Pas équipée,None,None,None,3,None,None,None,1,1,None,None,None,None,None,None,None,None,None,None,9166529,for sale,house,house,5660,29000,None
None,915,1,None,Équipée,None,None,None,4,Excellent état,None,None,None,1,None,None,Oui,Oui,None,None,None,1,None,None,8799377,for sale,house,chalet,5660,30000,as new
225,261,3,Non,None,None,None,None,None,None,None,None,1,2,None,None,Non,None,1,None,None,None,None,None,9251243,for sale,house,house,5660,160000,None
None,3090,1,Non,None,None,None,None,4,Excellent état,None,None,None,None,None,None,None,None,None,None,None,None,Oui,None,7477143,for sale,house,house,5660,205300,as new
85,None,3,None,None,None,None,None,2,None,None,None,1,None,None,Oui,None,None,None,None,None,None,None,None,9245179,for sale,house,house,5660,83000,None
None,1748,3,Non,Équipée,None,Oui,None,None,Bon,None,None,None,3,None,None,Non,None,None,6,None,1,None,None,8442217,for sale,house,house,5660,275000,good
None,111,1,None,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,9315154,for sale,house,house,5660,234250,None
90,None,2,Non,Hyper équipée,None,None,None,None,Fraîchement rénové,None,None,1,1,Non,None,Non,None,None,None,Oui,None,None,None,9313014,for sale,apartment,apartment,9800,265000,just renovated
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7916166,for sale,apartment group,apartment group,9800,220000 - 225000,None
None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,9227920,for sale,apartment group,apartment group,9800,284250 - 396000,None
60,None,1,Non,Équipée,None,None,5,2,À rénover,None,None,1,1,None,Oui,None,None,None,None,None,None,None,1963,9270734,for sale,apartment,apartment,9800,145000,to renovate
90,None,2,Non,Hyper équipée,None,None,None,None,Fraîchement rénové,None,None,1,1,Non,None,Non,None,None,None,Oui,None,None,None,9313015,for sale,apartment,apartment,9800,265000,just renovated
89,None,2,Non,Équipée,None,None,52,2,Fraîchement rénové,None,None,1,1,None,Oui,None,None,None,None,None,None,None,1963,9270731,for sale,apartment,apartment,9800,240000,just renovated
None,None,1,Non,Équipée,None,None,None,2,None,None,None,1,1,None,None,None,None,2,None,None,None,None,2002,9317720,for sale,apartment,apartment,9800,225000,None
73,None,2,Non,Équipée,None,None,9,2,None,None,None,1,1,None,Oui,None,None,None,None,None,None,None,1963,9270735,for sale,apartment,apartment,9800,170000,None
73,None,2,Non,Équipée,None,None,9,2,None,None,None,1,1,None,Oui,None,None,None,None,None,None,None,1963,9270732,for sale,apartment,apartment,9800,170000,None
